Feature,Importance
Cost,0.9546391184168507
Unit_Price,0.019753638714929023
Quantity,0.01565357821953853
Discount,0.005735027065318275
Category_Office Supplies,0.000497846410367262
Payment_Method_Net Banking,0.00047138074080714835
Region_North,0.00046946971222455784
Category_Electronics,0.0004515262475995681
Region_West,0.0004295544864974284
Category_Furniture,0.0004071266165899166
Payment_Method_Debit Card,0.0003976365913440871
Region_South,0.00037186236466514377
Region_East,0.0003670737089670325
Payment_Method_UPI,0.000355160704301422
